Name,Manufacturer,Order ID,Retailer,Retailer ID,Quantity,,,Observation
,,,,,,,,
Solenoid ,FESTO,"MHJ10-S-2,5-QS-6-HF",RS,175-2145,1,https://fr.rs-online.com/web/p/electrodistributeurs/1752145,92.35,Pneumatics
Precision pressure regulator,FESTO,MS2-LR-QS6-D6-A8-B,RS ,204-0052,1,https://fr.rs-online.com/web/p/regulateurs-de-pression/2040052,30.38,Pneumatics
Gauge,WIKA,30810876,RS,222-7480,1,https://fr.rs-online.com/web/p/manometres/2227480,11.52,Pneumatics
6mm air tubing,FESTO,PEN-6XT-NT,RS,126-2781,1,,,Pneumatics
PicoNozzle Kit,World Precision Instrument,5430 - x,WPI,,1,,,Pneumatics
,,,,,,,,
,,,,,,,,
ESP32 -devkit 32,Espressif,ESP32-DEVKITC-32E,DigiKey,1965-ESP32-DEVKITC-32E-ND,1,https://www.digikey.fr/fr/products/detail/espressif-systems/ESP32-DEVKITC-32E/12091810,9.3,Electronics
2 inch LCD display module ST7789,Waveshare,,,,,,,
PCB socket,Samtec,SSW-116-02-G-S ,RS,,2,,,Electronics
NPN transistor,onsemi,KSP 2222 ABU,RS,739-0385,3,https://fr.rs-online.com/web/p/transistors-bipolaires/7390385?gb=s,3.18,Electronics
Rotary Encoder,,KY-040,,,1,,1.5,Electronics
Knob for rotary encoder,,,,,1,,,Electronics
DPDT switch,nkk switches,B22AH,DigiKey,360-3752-ND,1,,6.2,Electronics
SPST footswitch,RS Pro,808-6989,RS,808-6989,1,,33.78,Electronics
24V DC PSU 2.1 mm jack,RS Pro,436-058,RS,436-058,1,,25,Electronics
2.1 mm right angle DC socket,RS Pro,884-0957,RS,884-0957,1,,1.87,Electronics
24 V Zener Diode,STMicroelectronics,1N5822,RS,687-0877,1,,,Electronics
1 kOhm resistor,Digikey,CF14JT1K00CT-ND,Digikey,,1,,,Electronics
2 kOhm resistor,Digikey,CF14JT2K00CT-ND,Digikey,,1,,,Electronics
220 Ohm resistor,Digikey,CF14JT220RCT-ND,Digikey,,3,,,Electronics
Voltage step-down regulator,RS Pro,LM2596T-5.0 NOPB,RS,533-3743,1,,6.62,Electronics
Capacitor 680 µF,RS Pro,526-1569,RS,526-1569,1,,1.06,Electronics
Capacitor 220 µF,RS Online,526-1480,RS,526-1480,1,,0.58,Electronics
Inductor 33 µH,Wurth Elektronik,744772330,RS,489-0059,1,,,Electronics
3 mm LED (white preferably ),Digikey,350-1557-ND,Digikey,,3,,,Electronics
Mount for 3 mm LED,Digikey,67-1330-ND,Digikey,,1,,,Electronics
BNC coaxial connectors,RS PRO,546-5115,RS,546-5115,2,,,Electronics
Cable Mount BNC Connector,RS PRO,546-3721,RS,546-3721,1,,,Electronics
2 way JST Female Connector Housing,JST,XHP-2,RS,820-1611,1,,,Electronics
3 way JST Female Connector Housing,JST,XHP-3,RS,820-1614,2,,,Electronics
8 way JST Female Connector Housing,JST,XHP-8,RS,820-1633,,,,Electronics
2 way JST PCB header,JST,B2B-XH,RS,820-1554,1,,,Electronics
3 way JST PCB header,JST,B3B-XH,RS,820-1557,2,,,Electronics
8 way JST PCB header,JST,B8B-XH,RS,820-1576,,,,Electronics
Rocker LED switch,,BRockerB-XH,Ebay,,1,,,Electronics
